;job_name;company_name;job_url;date
35;Assistente II Back Office - Afirmativa para Pessoas com Deficiência (PcD) ;Grupo Boticário;https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTc0MjkwNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
36;Pessoa Analista QA SR;Certsys;https://certsys.gupy.io/job/eyJqb2JJZCI6NTgxMzUzMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
37;Pessoa Desenvolvedora Backend PL;Certsys;https://certsys.gupy.io/job/eyJqb2JJZCI6NTgxNTAzNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
38;Pessoa Desenvolvedora Backend SR;Certsys;https://certsys.gupy.io/job/eyJqb2JJZCI6NTgxNTEzNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
39;Pessoa Analista QA PL;Certsys;https://certsys.gupy.io/job/eyJqb2JJZCI6NTgxMzM3OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
40;Analista III Marketing Analytics - Afirmativa para Pessoas Negres (pretas e pardas) e Pessoas com Deficiência (PcD);Grupo Boticário;https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTY5OTExMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
41;Pessoa Desenvolvedora Flutter SR;Certsys;https://certsys.gupy.io/job/eyJqb2JJZCI6NTgxNjE1Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
42;Pessoa Desenvolvedora Flutter PL;Certsys;https://certsys.gupy.io/job/eyJqb2JJZCI6NTgxMzY2OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
43;Pessoa Desenvolvedora RPA PL - Automation Anywhere;Certsys;https://certsys.gupy.io/job/eyJqb2JJZCI6NTgxMzg0Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
44;Pessoa Analista de Treinamento Junior- Customer Experience;will bank;https://vemserwill.gupy.io/job/eyJqb2JJZCI6NTgyMjkzNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
45;Desenvolvedor BackEnd Sênior - (Exclusiva para pessoas com deficiência);Vivo Diversidade;https://vivodiversidade.gupy.io/job/eyJqb2JJZCI6NTY5NDIxNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
46;Pessoa Engenheira de Dados AWS Glue ;AMcom;https://amcom.gupy.io/job/eyJqb2JJZCI6NTgxMzgxMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
47;Pessoa Consultora  SAP Functional SD/EWM (Outbound);Datum TI;https://datum.gupy.io/job/eyJqb2JJZCI6NTgxMzg2Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
48;Pessoa Tech Lead;Datum TI;https://datum.gupy.io/job/eyJqb2JJZCI6NTgxNDI3MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
49;Pessoa Desenvolvedora Back-end Java Sênior ;VENHA SER #SANGUELARANJA 🧡🚀;https://fcamara.gupy.io/job/eyJqb2JJZCI6NTgxMTg0Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;31/10/2023
